text,label
ra đây đê gấu,0
thane dốt vãi,1
thằng mid phế vãi,1
m sẽ phải trả giá,0
vãi lồn,1
afkkkkkk,0
thằng mid biết chơi k thế,0
afk cung chịu,0
vãi l,1
thằng mid óc chó,1
tìm ad tay to gánh bé sóc vàng :<,0
Kiem aiuu gánh,0
tìm bạn chơi chung,0
hay r,0
mid nguu à,1
feed nguu giờ đánh gì đxc,1
cc,1
mid ngu à,1
mài hay quá ta m ks t chx nói đó đi rừng ngu còn nói nhiều,1
đánh như cc cho nó vô đòi sủa ai,1
mai ng mà ai mài cũng chửi,0
bo me sinh m trong bui chuoi à,1
fuck you 2 thằng bot,1
con mọe m,1
bố m thích vậy đấy làm lờ gì nhau,1
occs that sự,1
