text,annotator1,label
xin mid gánh team với,0,0
bạn ơi,0,0
cho mid là win,0,0
câm à,1,1
cầm thanh tẩy,0,0
15 ff,0,0
vcl sợ thế,1,1
vãi cả lồn sợ thế,1,1
bên nào ff,0,0
nói cho rõ vào,0,0
4 đứa,0,0
đánh,0,0
đánh ngu như thế này ff là đúng rồi,1,1
thoát ra,0,0
che cho tao,0,0
rồi tao chết à,0,0
chết được à,0,0
buff xong thì thoát ra,0,0
che được thì tốt,0,0
cứ ở trong làm gì,0,0
chia dame cho tao,0,0
về,0,0
nó gank hoài mà đẩy cho cao,0,0
lắm mõm ít thôi,0,1
đừng nói nhiều,0,0
ngu thì nói,1,1
tao ngu quá,0,1
thằng ngu sủa lắm 1 5 cdm,1,1
thằng ngu sủa lắm 1 5 con đĩ mẹ,1,1
feed ít thôi bố còn gánh được,0,0
bố xin,0,0
mai mẹ mày chết,1,1
rủa đi rồi nó vận vào người ý,0,0
ping ra,0,0
đứng đó làm cc gì,1,1
đứng đó làm con cặc gì,1,1
thằng ngu,1,1
15 ff,0,0
qua rồng đi,0,0
đấy ff đi,0,0
bảo ra che đi,0,0
che sóng âm đấy,0,0
nó đập tao 2 cái chết rồi,0,0
thì mày chết đi,0,0
hi sinh,0,0
cho tao,0,0
ad nó bot rồi,0,0
nó thiếu người,0,0
ăn đi,0,0
đánh mid với bot,0,0
đi em,0,0
15 ff của em đúng rồi đấy,0,0
có rừng mà,0,0
có trừng phạt ăn đi,0,0
tao def top cho,0,0
cút,1,1
mày lên đây làm gì thế ashe,0,0
ad ngu vậy,1,1
vc,1,1
vãi cặc,1,1
tính dame như cc,1,1
tính dame như con cặc,1,1
còn ẳng làm gì,1,1
lo xong cái thân con đi,0,0
tí tuổi đầu đã dám cãi lại bố rồi,0,0
sp hay thế mà ad thì ngu lol,1,1
sp hay thế mà ad thì ngu lồn,1,1
mày bắn cái gì đấy,0,0
con chó,1,1
ad làm cặc gì vậy,1,1
má không chết,0,1
nó sợ luôn rồi,0,0
về không anh giết giờ,0,0
dcm đánh blue không mất máu,1,1
địt con mẹ đánh blue không mất máu ,1,1
bọn củ l,1,1
bọn củ lồn,1,1
quá đằng cấp,0,0
nói gì đi,0,0
lag quá không nhìn thấy đc,0,0
thế vẫn dính sóng âm,0,0
cho mày khỏi chơi game đấy,0,0
có gì thắc mắc hả em,0,0
thằng lồn đâu ra tao bảo,1,1
sao pha trước không kéo sp nó vô,0,0
chơi luôn,0,0
mày nhìn vậy thôi,0,0
chứ tao mong manh lắm,0,0
ngu,1,1
điên à,1,1
nó stun tao,0,0
dm quái vật,1,1
địt mẹ quái vật,1,1
mày ra mid đi,0,0
vcl,1,1
vãi cả lồn,1,1
mẹ,1,0
thằng sp unti vc,1,1
thằng sp unti vãi cặc,1,1
con mẹ,1,1
hỏi thằng sp nó có thể dùng não chơi game được không,0,0
con mẹ,1,1
tao quỳ,0,0
tác dụng của mày là gì vậy sp,0,0
kệ mẹ mày,1,1
vcl bọn chia team,1,1
vãi cả lồn bọn chia team,1,1
rác vcl,1,1
rác vãi cả lồn,1,1
gà,1,1
vl,1,1
vãi lồn,1,1
sao không lại gần đây,0,0
xa vậy sao tao sp,0,0
bot đổi lane cho top á,0,0
ra mid chi,0,0
chịu rank bạc là đúng,0,0
đớp đc thằng mid chứ có cái lồn gì mà gớm,1,1
zed đợi tý nữa tao bắn cho thì lại tụt hết buồi vào,1,1
sợ không bắn nổi,0,0
rải nấm đi bồ,0,0
đéo phải cứ đi đẩy trụ đâu,1,1
sủa cc,1,1
sủa con cặc,1,1
tao bắt sp nó,0,0
lẻ cc,1,1
lẻ con cặc,1,1
ngu câm,1,1
non,1,1
pick ad vào sp,0,0
chứ tui pick lane ad,0,0
nó ra sp,0,0
cảm ơn ông nhiều nha,0,0
ad hồi máu ,0,0
đánh thế thì thôi,0,0
bình tĩnh cc,1,1
bình tĩnh con cặc,1,1
đéo hiểu,1,1
nghĩ cái cc gì trong đầu,1,1
nghĩ cái con cặc gì trong đầu,1,1
rừng,0,0
top không r,0,0
lên gank nè,0,0
sao không nhường cho mid,0,0
